Title,Sprint,Dev,Feature,Priority,Status,Points,Deadline
"CMS-00 — Persiapan database & akun admin","Sprint CMS-0 - Database","Haikal","Database + seed + E2E","Kritis","Belum","5",
"CMS-00b — Pastikan build tidak rusak","Sprint CMS-0 - Database","Akira","Build / Lint","Tinggi","Belum","2",
"CMS-03 — Tipe data Hubin","Sprint CMS-1 - Tipe Data","Alfara","Hubin (loker, beasiswa, lomba, partner)","Tinggi","Belum","1",
"CMS-05 — Tipe data Academic-Life","Sprint CMS-1 - Tipe Data","Arkan","Akademik (akomodasi, produk, trial, kuis)","Sedang","Belum","2",
"CMS-06 — Admin Kurikulum","Sprint CMS-2 - Admin","Haikal","Konten Program & Konsentrasi","Tinggi","Belum","8",
"CMS-07 — Admin Berita","Sprint CMS-2 - Admin","Akira","Berita / Kelulusan","Tinggi","Belum","5",
"CMS-08 — Admin Hubin","Sprint CMS-2 - Admin","Alfara","loker, beasiswa, lomba, partner","Tinggi","Belum","5",
"CMS-09 — Admin Orang","Sprint CMS-2 - Admin","Iqbal","Guru, fasilitas, prestasi, ekskul, testimoni, FAQ, service, struktur","Tinggi","Belum","8",
"CMS-10 — Admin Academic-Life","Sprint CMS-2 - Admin","Arkan","Akomodasi, produk, kuis","Sedang","Belum","5",
"CMS-11 — Publik Kurikulum/Karir","Sprint CMS-3 - Publik","Haikal","Sambungkan ke API","Tinggi","Belum","3",
"CMS-12 — Publik Berita/Kelulusan","Sprint CMS-3 - Publik","Akira","Sambungkan ke API","Tinggi","Belum","3",
"CMS-13 — Publik Hubin","Sprint CMS-3 - Publik","Alfara","Sambungkan ke API","Tinggi","Belum","2",
"CMS-14 — Publik Orang","Sprint CMS-3 - Publik","Iqbal","Sambungkan ke API","Tinggi","Belum","3",
"CMS-15 — Publik Academic-Life","Sprint CMS-3 - Publik","Arkan","Sambungkan ke API","Sedang","Belum","3",
