Status,Task,Assigned to,Deadline,Created time,Priority,Notes,Created by,Last edited time
"Belum","CMS-00 — Persiapan database & akun admin","Haikal","2025-01-12",,"Kritis","Buat tabel DB (prisma migrate dev), isi data awal (seed), uji login Super Admin, pastikan npm run smoke tidak eror.",,
"Belum","CMS-00b — Pastikan build tidak rusak","Akira","2025-01-12",,"Tinggi","Pastikan build & lint frontend dan build backend semuanya hijau.",,
"Belum","CMS-03 — Tipe data Hubin","Alfara","2025-01-19",,"Tinggi","Beri tipe pada data hubinData (loker, beasiswa, lomba, partner) di shared types.",,
"Belum","CMS-05 — Tipe data Academic-Life","Arkan","2025-01-19",,"Sedang","Beri tipe pada dummyData (akomodasi, produk, trial class, kuis).",,
"Belum","CMS-06 — Admin Kurikulum","Haikal","2025-01-26",,"Tinggi","Buat model + API Konsentrasi & Karir, lalu halaman admin kurikulum.",,
"Belum","CMS-07 — Admin Berita","Akira","2025-01-26",,"Tinggi","API berita (model sudah ada) + editor admin teks kaya (WYSIWYG).",,
"Belum","CMS-08 — Admin Hubin","Alfara","2025-01-26",,"Tinggi","Halaman admin loker, beasiswa, lomba, partner (API sudah ada).",,
"Belum","CMS-09 — Admin Orang","Iqbal","2025-01-26",,"Tinggi","Admin guru, fasilitas, prestasi, ekskul, testimoni, FAQ, service desk, struktur organisasi.",,
"Belum","CMS-10 — Admin Academic-Life","Arkan","2025-01-26",,"Sedang","Model + API + admin akomodasi, produk, kuis.",,
"Belum","CMS-11 — Publik Kurikulum/Karir","Haikal","2025-02-02",,"Tinggi","Halaman publik kurikulum/karir mengambil data dari API (bukan teks contoh).",,
"Belum","CMS-12 — Publik Berita/Kelulusan","Akira","2025-02-02",,"Tinggi","Halaman publik berita & persiapan kelulusan mengambil data dari API.",,
"Belum","CMS-13 — Publik Hubin","Alfara","2025-02-02",,"Tinggi","Pastikan loker/beasiswa/lomba memakai data asli dari API.",,
"Belum","CMS-14 — Publik Orang","Iqbal","2025-02-02",,"Tinggi","Guru, fasilitas, prestasi, testimoni, FAQ, struktur organisasi dari API.",,
"Belum","CMS-15 — Publik Academic-Life","Arkan","2025-02-02",,"Sedang","Akomodasi, produk, trial class, kuis dari API.",,
